1000/03 Inventarisnummer,Rechtenverklaring object,Rechtenverklaring data,Persistente URI,Kunstenaarsnaam_NL_VerbeterdeVersie,1000/04 Titel_NL,1000/06 Soort - Verwoording,1000/07 AfmetingenNL,1000/08 Materialen en technieken - Verwoording,2000/01 Datum,2000/02 Toewijzing - Verwoording,2000/04 Achternaam_NL,2000/04 Achternaam 3,2000/04 Achternaam 4,2000/05 Voornaam,2000/08 Geboortedatum,2000/09 Datum overlijden,2000/13 Opmerking toewijzing,2300/02 Terminus ante quem,2300/03 Terminus post quem
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,steengoed,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,keramiek,,,,,,,,,,,,,
11463,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/11463,Joannes Cardon,Maria met Kind,groep,"31 x 20,4 x 17,5",aarde,,,Cardon,,,Johannes,1614,ca. 1656,,1643,1643
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,figurine,,,,,,,,Johannes,,,,,
12095,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/12095,"Zuid-Nederlandse school, Doornik",Beelden van een calvariegroep : De heilige Maagd ,,,,,,,,,,,,,,
7854,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/7854,Zuid-Nederlandse school?,De heilige Martinus te paard,groep,132 x 100 x 50,"hout, hout (eik), verguldsel, verf",,?,Zuid-Nederlandse school,,,,,,,1515,1525
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
1529,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/1529,Artus Quellinus de Oude,Louis de Benavidès,buste,Hoogte : 98,gips,,,Quellinus,,,Artus I,1609,1668,,1618,1668
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Artus I,,,,,
2265,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/2265,Artus Quellinus I (naar),Samson en Dalila,groep,"23,4 x 25,2 x 21,5","aardewerk (faience), gips",,naar,Quellinus,,,Artus I,1609,1668,,1629,1668
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Artus I,,,,,
8033,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8033,Franse school,De heilige Catharina,standbeeld,"83,6 x 33,7 x 22,4",steen (kalksteen),,,Franse school,,,,,,,1401,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
2455,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/2455,Meester van het Retabel van Rieden,Het huwelijk van de heilige Maagd,groep,39 x 27,"hout, hout (notenhout), verf, verguldsel",,,Meester van het Retabel van Rieden,,,,,,,1430,1470
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,retabel (deel van),,,,,,,,,,,,,
7548,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/7548,Zuid-Nederlandse school,Esther en Ahasveros,glasraam,Diam. 22,"glas, verf",,vroeger toegeschreven aan,Zuid-Nederlandse school,Vellert,Vellert,Dirick Jacobsz.,1480 - 1485,1547,,1542,1542
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Dirick Jacobsz.,,,,,
7549,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/7549,Hugo van der Goes (naar een navolger van),Abraham verstoot Hagar en Ismaël,glasraam,Diam. 52,"glas, verf",,navolger van (naar een),van der Goes,,,Hugo,ca. 1430,1482 / 1483,,1490,1500
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,Hugo,,,,,
473,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/473,"Zuid-Nederlandse school, Mechelen",De graflegging,haut-reliëf,41 x 38 (paneel) ,,,,"Zuid-Nederlandse school, Mechelen",,,,,,,,
474,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/474,"Zuid-Nederlandse school, Mechelen?",De Calvarieberg,haut-reliëf,"57,5 x 43",albast,,?,"Zuid-Nederlandse school, Mechelen",,,,,,,1551,1600
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
475,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/475,"Zuid-Nederlandse school, Mechelen",De nederdaling van de Heilige Geest,bas-reliëf,"27,5 x 33,5",albast,,,"Zuid-Nederlandse school, Mechelen",,,,,,,1570,1570
476,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/476,"Zuid-Nederlandse school, Mechelen",De aanbidding der herders,bas-reliëf,"15 x 11,5",albast,,,"Zuid-Nederlandse school, Mechelen",,,,,,,1590,1610
477,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/477,"Zuid-Nederlandse school, Mechelen",Christus op de Olijfberg,bas-reliëf,"17 x 12,5",albast,,,"Zuid-Nederlandse school, Mechelen",,,,,,,1601,1620
2422,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/2422,Artus II Quellinus,Engel met kelk,ontwerp,"58,9 x 27,4 x 10,3",aarde,,,Quellinus,,,Artus II,1625,1700,,1672,1673
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,haut-reliëf,,,,,,,,Artus II,,,,,
2457,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/2457,Guillielmus Kerricx,Jacobus de Meerdere,ontwerp,"58,4 x 23,3 x 17,8",aarde,,,Kerricx,,,Willem,1652,1719,,1692,1697
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,statuette,,,,,,,,Willem,,,,,
8770,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://www.fine-arts-museum.be/collection/work/ID/8770,Maaslandse school,Gekruisigde Christus,beeldhouwwerk,165 x 30 x 26,"hout, hout (eik)",,vroeger toegeschreven aan,Maaslandse school,"School der oude noordelijke Nederlanden, Opper-Gelderland","Ecole des anciens Pays-Bas septentrionaux, Haute Gueldre",,,,,1500,1515
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
,https://creativecommons.org/publicdomain/mark/1.0,https://creativecommons.org/publicdomain/zero/1.0/,,,,,,,,,,,,,,,,,
